distribution,matrix_type,dim,operation,test_loss,normalized_test_loss
gaussian,band,2,exponential,1.3489,0.337225
gaussian,band,3,exponential,3.2319,0.3591
gaussian,band,4,exponential,6.0334,0.3770875
gaussian,band,5,exponential,7.4687,0.298748
gaussian,band,2,sign,6.4352,1.6088
gaussian,band,3,sign,23.9955,2.666166666666667
gaussian,band,4,sign,33.9209,2.12005625
gaussian,band,5,sign,60.2672,2.410688
gaussian,band,2,square,0.3786,0.09465
gaussian,band,3,square,0.8166,0.09073333333333333
gaussian,band,4,square,1.3151,0.08219375
gaussian,band,5,square,2.1428,0.085712
gaussian,circulant,2,exponential,2.682,0.6705
gaussian,circulant,3,exponential,13.9157,1.5461888888888888
gaussian,circulant,4,exponential,186.8381,11.67738125
gaussian,circulant,5,exponential,146.291,5.85164
gaussian,circulant,2,sign,0.8066,0.20165
gaussian,circulant,3,sign,1.204,0.13377777777777777
gaussian,circulant,4,sign,1.5412,0.096325
gaussian,circulant,5,sign,2.5959,0.103836
gaussian,circulant,2,square,0.2581,0.064525
gaussian,circulant,3,square,0.6033,0.06703333333333333
gaussian,circulant,4,square,1.3093,0.08183125
gaussian,circulant,5,square,1.868,0.07472000000000001
gaussian,general,2,exponential,1.3489,0.337225
gaussian,general,3,exponential,6.6222,0.7358
gaussian,general,4,exponential,21.7658,1.3603625
gaussian,general,5,exponential,51.259,2.05036
gaussian,general,2,sign,6.4352,1.6088
gaussian,general,3,sign,24.1296,2.6810666666666667
gaussian,general,4,sign,41.6195,2.60121875
gaussian,general,5,sign,50.7701,2.030804
gaussian,general,2,square,0.3786,0.09465
gaussian,general,3,square,1.2995,0.1443888888888889
gaussian,general,4,square,5.6375,0.35234375
gaussian,general,5,square,21.6309,0.865236
gaussian,h_matrix,2,exponential,5.0292,1.2573
gaussian,h_matrix,3,exponential,105.67,11.741111111111111
gaussian,h_matrix,4,exponential,858.1032,53.63145
gaussian,h_matrix,5,exponential,1980.0254,79.201016
gaussian,h_matrix,2,sign,1.6042,0.40105
gaussian,h_matrix,3,sign,3.7424,0.4158222222222222
gaussian,h_matrix,4,sign,6.2662,0.3916375
gaussian,h_matrix,5,sign,7.9969,0.319876
gaussian,h_matrix,2,square,0.3781,0.094525
gaussian,h_matrix,3,square,1.1388,0.12653333333333333
gaussian,h_matrix,4,square,3.3556,0.209725
gaussian,h_matrix,5,square,9.0946,0.363784
gaussian,hadamard,2,exponential,0.0138,0.00345
gaussian,hadamard,4,exponential,0.3944,0.02465
gaussian,hadamard,2,sign,0.0089,0.002225
gaussian,hadamard,4,sign,0.0158,0.0009875
gaussian,hadamard,2,square,0.1146,0.02865
gaussian,hadamard,4,square,0.2616,0.01635
gaussian,m_matrix,2,exponential,2.01,0.5025
gaussian,m_matrix,3,exponential,10.7609,1.1956555555555555
gaussian,m_matrix,4,exponential,30.4935,1.90584375
gaussian,m_matrix,5,exponential,67.7026,2.708104
gaussian,m_matrix,2,sign,2.7509,0.687725
gaussian,m_matrix,3,sign,1.162,0.1291111111111111
gaussian,m_matrix,4,sign,3.6765,0.22978125
gaussian,m_matrix,5,sign,6.7268,0.269072
gaussian,m_matrix,2,square,0.3007,0.075175
gaussian,m_matrix,3,square,1.028,0.11422222222222222
gaussian,m_matrix,4,square,3.3578,0.2098625
gaussian,m_matrix,5,square,12.224,0.48896
gaussian,orthogonal,2,exponential,0.0663,0.016575
gaussian,orthogonal,3,exponential,0.0978,0.010866666666666667
gaussian,orthogonal,4,exponential,0.321,0.0200625
gaussian,orthogonal,5,exponential,1.3685,0.054740000000000004
gaussian,orthogonal,2,sign,0.0259,0.006475
gaussian,orthogonal,3,sign,0.0686,0.007622222222222221
gaussian,orthogonal,4,sign,1.9337,0.12085625
gaussian,orthogonal,5,sign,6.6955,0.26782
gaussian,orthogonal,2,square,0.0109,0.002725
gaussian,orthogonal,3,square,0.1228,0.013644444444444445
gaussian,orthogonal,4,square,0.4724,0.029525
gaussian,orthogonal,5,square,2.8006,0.11202400000000001
gaussian,p_matrix,2,exponential,8.5085,2.127125
gaussian,p_matrix,3,exponential,141.6507,15.738966666666666
gaussian,p_matrix,4,exponential,1840.13,115.008125
gaussian,p_matrix,5,exponential,14513.8919,580.5556760000001
gaussian,p_matrix,2,sign,0.0777,0.019425
gaussian,p_matrix,3,sign,0.0237,0.002633333333333333
gaussian,p_matrix,4,sign,0.0297,0.00185625
gaussian,p_matrix,5,sign,0.0083,0.000332
gaussian,p_matrix,2,square,1.1269,0.281725
gaussian,p_matrix,3,square,2.1253,0.23614444444444446
gaussian,p_matrix,4,square,8.8444,0.552775
gaussian,p_matrix,5,square,25.2277,1.009108
gaussian,positive_definite,2,exponential,980569312.5106,245142328.12765
gaussian,positive_definite,3,exponential,617087673579.3898,68565297064.37664
gaussian,positive_definite,4,exponential,3881040219436327.0,242565013714770.44
gaussian,positive_definite,5,exponential,1e+25,4.0000000000000003e+23
gaussian,positive_definite,2,sign,0.0223,0.005575
gaussian,positive_definite,3,sign,0.0256,0.0028444444444444446
gaussian,positive_definite,4,sign,0.0261,0.00163125
gaussian,positive_definite,5,sign,0.038,0.0015199999999999999
gaussian,positive_definite,2,square,4.3291,1.082275
gaussian,positive_definite,3,square,13.0302,1.4478
gaussian,positive_definite,4,square,39.9507,2.49691875
gaussian,positive_definite,5,square,97.6461,3.905844
gaussian,stochastic,2,exponential,0.0809,0.020225
gaussian,stochastic,3,exponential,0.0887,0.009855555555555555
gaussian,stochastic,4,exponential,0.1806,0.0112875
gaussian,stochastic,5,exponential,0.3926,0.015704
gaussian,stochastic,2,sign,0.8149,0.203725
gaussian,stochastic,3,sign,10.028,1.1142222222222222
gaussian,stochastic,4,sign,27.6711,1.72944375
gaussian,stochastic,5,sign,40.2779,1.611116
gaussian,stochastic,2,square,0.0467,0.011675
gaussian,stochastic,3,square,0.0591,0.006566666666666667
gaussian,stochastic,4,square,0.1513,0.00945625
gaussian,stochastic,5,square,0.4186,0.016744000000000002
gaussian,toeplitz,2,exponential,2.682,0.6705
gaussian,toeplitz,3,exponential,16.8638,1.8737555555555556
gaussian,toeplitz,4,exponential,233.0458,14.5653625
gaussian,toeplitz,5,exponential,414.4603,16.578412
gaussian,toeplitz,2,sign,0.8066,0.20165
gaussian,toeplitz,3,sign,1.7417,0.19352222222222223
gaussian,toeplitz,4,sign,2.6791,0.16744375
gaussian,toeplitz,5,sign,3.8611,0.154444
gaussian,toeplitz,2,square,0.2581,0.064525
gaussian,toeplitz,3,square,0.7759,0.08621111111111111
gaussian,toeplitz,4,square,1.3401,0.08375625
gaussian,toeplitz,5,square,2.1447,0.08578799999999999
gaussian,wigner,2,exponential,26.9554,6.73885
gaussian,wigner,3,exponential,114.0696,12.674399999999999
gaussian,wigner,4,exponential,216.9571,13.55981875
gaussian,wigner,5,exponential,754.4902,30.179607999999998
gaussian,wigner,2,sign,1.3567,0.339175
gaussian,wigner,3,sign,3.4499,0.38332222222222223
gaussian,wigner,4,sign,6.8941,0.43088125
gaussian,wigner,5,sign,9.832,0.39328
gaussian,wigner,2,square,0.5556,0.1389
gaussian,wigner,3,square,1.4853,0.16503333333333334
gaussian,wigner,4,square,2.7867,0.17416875
gaussian,wigner,5,square,6.9333,0.277332
gaussian,z_matrix,2,exponential,1.5983,0.399575
gaussian,z_matrix,3,exponential,64.633,7.181444444444444
gaussian,z_matrix,4,exponential,587.6146,36.7259125
gaussian,z_matrix,5,exponential,3706.0302,148.241208
gaussian,z_matrix,2,sign,0.2519,0.062975
gaussian,z_matrix,3,sign,2.0983,0.23314444444444446
gaussian,z_matrix,4,sign,4.6093,0.28808125
gaussian,z_matrix,5,sign,4.7273,0.18909199999999998
gaussian,z_matrix,2,square,0.1839,0.045975
gaussian,z_matrix,3,square,2.0604,0.22893333333333332
gaussian,z_matrix,4,square,4.0632,0.25395
gaussian,z_matrix,5,square,14.1937,0.567748
